"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.922500015E-3,-1.855726446E-1,7.536114458E-2,6.879915798E-1,7.165535028E-1
1.597250000E-2,6.760780971E-2,-5.784421124E-2,-4.984657788E-1,5.063446468E-1
2.602350002E-2,1.728732049E-1,-7.177217843E-2,-9.445369971E-1,9.629052546E-1
3.607350000E-2,-1.621306637E-1,6.498129526E-2,7.575617516E-1,7.774372826E-1
4.612350001E-2,-5.217634980E-2,1.247844242E-2,1.775162047E-1,1.854456415E-1
5.617350002E-2,1.177196904E-1,-6.474784518E-2,-7.029347241E-1,7.156587422E-1
6.622350001E-2,-7.374053394E-2,3.121177020E-2,2.402199912E-1,2.532143067E-1
7.627350002E-2,-7.404866394E-2,2.961805676E-2,1.959793729E-1,2.115853220E-1
8.632687503E-2,4.602911716E-2,-3.588206925E-2,-3.962564492E-1,4.005313672E-1
9.637687501E-2,-3.275719844E-2,1.607898423E-2,9.754675984E-2,1.041486348E-1
1.064268750E-1,-3.030465692E-2,1.615040249E-2,8.059509695E-2,8.760580679E-2
1.164768750E-1,4.749748092E-3,-1.776957873E-2,-2.040748429E-1,2.049020731E-1
1.265278750E-1,-4.550376311E-2,8.855854785E-3,5.412358224E-2,7.126275869E-2
1.365778750E-1,-1.759876695E-2,1.049639164E-3,-1.593658626E-2,2.376537654E-2
1.466278750E-1,1.725732610E-3,-1.324122084E-2,-1.064836442E-1,1.073176340E-1
1.566778750E-1,-3.142397845E-2,9.021568531E-3,3.256080508E-2,4.614175060E-2
1.667278750E-1,-2.284927424E-3,-4.209629819E-3,-4.467389703E-2,4.492993381E-2
1.767778750E-1,-4.098203816E-3,-1.367999042E-2,-3.583641529E-2,3.857701483E-2
1.868278750E-1,-2.362591239E-2,1.089409366E-3,-1.084190726E-2,2.601763829E-2
1.968778750E-1,-2.019558851E-2,-1.734329844E-3,-6.830717325E-2,7.125124289E-2
2.069278750E-1,-2.031574879E-2,1.396954637E-3,-2.474424720E-2,3.204619947E-2
2.169778750E-1,-2.571320392E-2,-2.685023155E-3,5.330906510E-3,2.639690833E-2
2.270288750E-1,-1.762906283E-2,-1.313576996E-3,-3.524526179E-2,3.943016383E-2
2.370788750E-1,-2.499865590E-2,-4.845688110E-3,-2.494129837E-2,3.564381930E-2
2.471288750E-1,-1.792747183E-2,3.813837273E-3,-2.377068579E-2,3.001641391E-2
2.571788750E-1,-7.201156709E-3,-4.754243139E-4,-7.376847267E-2,7.412064656E-2
2.672288750E-1,-1.465489486E-2,-3.227005228E-3,-3.364955664E-2,3.684388915E-2
2.772788750E-1,-2.266483113E-2,-4.531217543E-3,-2.885367036E-2,3.696972810E-2
2.873288750E-1,-1.434618015E-2,-1.087728292E-3,-2.376542330E-2,2.778113357E-2
2.973788750E-1,-1.596892867E-2,1.332979702E-2,-2.795495331E-2,3.484493631E-2
3.074288750E-1,-1.457603054E-2,1.076161768E-2,-5.653146565E-2,5.936395952E-2
3.174798750E-1,-2.791769559E-2,-1.268781843E-2,-3.825482368E-2,4.902866507E-2
3.275298750E-1,-1.743668944E-2,-8.198289704E-3,-2.088508487E-2,2.841543353E-2
3.375798750E-1,-2.386541069E-3,5.648931088E-3,-4.871256888E-2,4.909705050E-2
3.476298750E-1,-5.535010882E-3,-4.478720510E-3,-6.513564348E-2,6.552363951E-2
3.576798750E-1,-6.002057232E-3,-4.897554740E-3,-9.394429028E-2,9.426314449E-2
3.677298750E-1,-2.890627703E-2,-1.672304590E-2,-6.431937218E-4,3.340129959E-2
3.777798750E-1,-3.943588816E-2,3.468784855E-2,9.466525197E-2,1.082586996E-1
3.878298750E-1,-2.958433477E-2,1.451772284E-2,1.722472787E-2,3.718451816E-2
3.978798750E-1,-6.574682370E-3,-1.539378192E-2,-1.369482225E-1,1.379674259E-1
4.079298750E-1,-8.053424936E-3,-2.207113774E-2,-1.003639483E-1,1.030772279E-1
