"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.201354400E-2,-8.315058798E-2,7.058826834E-2,9.742377281E0
1.410550400E-2,-4.965107143E-2,8.494520187E-2,9.732806206E0
1.621432800E-2,-9.750752151E-2,6.101697683E-2,9.799804688E0
1.832315200E-2,-9.750752151E-2,7.058826834E-2,9.780662537E0
2.043197600E-2,-9.750752151E-2,9.930214286E-2,9.718449593E0
2.253881500E-2,-1.022931710E-1,8.973085135E-2,9.742377281E0
2.464833200E-2,-7.836493850E-2,8.494520187E-2,9.771091461E0
2.675454200E-2,-8.793623000E-2,7.058826834E-2,9.771091461E0
2.886242300E-2,-1.022931710E-1,7.058826834E-2,9.747162819E0
3.097031300E-2,-1.357926875E-1,6.101697683E-2,9.738189697E0
3.307909900E-2,-1.214357466E-1,8.973085135E-2,9.728020668E0
3.518746600E-2,-9.272187948E-2,8.015955985E-2,9.728020668E0
3.729636400E-2,-1.357926875E-1,4.725824669E-2,9.790832520E0
3.940189300E-2,-1.262213886E-1,8.015955985E-2,9.775876999E0
4.150466700E-2,-1.118644550E-1,9.930214286E-2,9.728020668E0
4.361998200E-2,-1.022931710E-1,6.580262631E-2,9.737591743E0
4.572833900E-2,-9.750752151E-2,7.058826834E-2,9.775876999E0
4.783833600E-2,-9.272187948E-2,8.494520187E-2,9.771091461E0
4.994464900E-2,-8.793623000E-2,7.537391037E-2,9.747162819E0
5.205329200E-2,-9.272187948E-2,6.101697683E-2,9.737591743E0
5.416235000E-2,-8.793623000E-2,8.973085135E-2,9.747162819E0
5.626988400E-2,-5.922235921E-2,6.580262631E-2,9.751948357E0
5.837885200E-2,-7.836493850E-2,8.015955985E-2,9.761520386E0
6.048597000E-2,-9.750752151E-2,8.015955985E-2,9.751948357E0
6.259707500E-2,-1.022931710E-1,7.537391037E-2,9.737591743E0
6.471547200E-2,-8.315058798E-2,7.058826834E-2,9.747162819E0
6.682363600E-2,-9.750752151E-2,6.101697683E-2,9.780662537E0
6.893238100E-2,-9.750752151E-2,7.537391037E-2,9.756733894E0
7.103845000E-2,-9.750752151E-2,7.058826834E-2,9.766305923E0
7.314567900E-2,-9.750752151E-2,6.101697683E-2,9.756733894E0
7.525384200E-2,-9.272187948E-2,9.451649338E-2,9.766305923E0
7.735794900E-2,-9.272187948E-2,7.537391037E-2,9.756733894E0
7.945384600E-2,-7.836493850E-2,6.580262631E-2,9.737591743E0
8.157607900E-2,-9.272187948E-2,8.015955985E-2,9.756733894E0
8.368692900E-2,-1.118644550E-1,7.537391037E-2,9.775876999E0
8.579949700E-2,-9.750752151E-2,6.101697683E-2,9.751948357E0
8.790515900E-2,-1.118644550E-1,6.580262631E-2,9.747162819E0
9.001129000E-2,-9.750752151E-2,6.580262631E-2,9.751948357E0
9.211842700E-2,-8.793623000E-2,7.058826834E-2,9.761520386E0
9.422644900E-2,-1.070788130E-1,8.015955985E-2,9.751948357E0
9.633523400E-2,-1.214357466E-1,5.623133108E-2,9.751948357E0
9.844521900E-2,-9.750752151E-2,6.580262631E-2,9.766305923E0
1.005494570E-1,-9.272187948E-2,8.494520187E-2,9.751948357E0
1.026464320E-1,-7.357929647E-2,6.101697683E-2,9.756733894E0
1.047705260E-1,-5.922235921E-2,7.058826834E-2,9.766305923E0
1.068776740E-1,-9.750752151E-2,6.580262631E-2,9.761520386E0
1.089898360E-1,-9.272187948E-2,5.623133108E-2,9.728020668E0
1.110919080E-1,-9.272187948E-2,7.058826834E-2,9.737591743E0
1.131944370E-1,-7.357929647E-2,7.537391037E-2,9.747162819E0
1.153106880E-1,-7.836493850E-2,5.623133108E-2,9.761520386E0
1.174192390E-1,-8.793623000E-2,6.580262631E-2,9.747162819E0
1.195272720E-1,-7.836493850E-2,6.580262631E-2,9.737591743E0
1.216259040E-1,-6.400800496E-2,8.015955985E-2,9.766305923E0
1.237347410E-1,-8.315058798E-2,6.101697683E-2,9.780662537E0
1.258529650E-1,-6.400800496E-2,2.273181453E-2,9.733404160E0
1.279620150E-1,-1.166501045E-1,1.040877849E-1,9.766305923E0
1.300706780E-1,-9.272187948E-2,4.187439755E-2,9.723235130E0
1.321737970E-1,-7.836493850E-2,3.708875179E-2,9.732806206E0
1.342749420E-1,-1.070788130E-1,5.623133108E-2,9.775876999E0
1.363934720E-1,-6.400800496E-2,2.273181453E-2,9.771091461E0
1.385024610E-1,-1.214357466E-1,4.187439755E-2,9.790233612E0
1.406121220E-1,-9.750752151E-2,1.040877849E-1,9.751350403E0
1.427178040E-1,-4.965107143E-2,4.666004330E-2,9.766305923E0
1.448234140E-1,-8.315058798E-2,4.666004330E-2,9.785448074E0
1.469243360E-1,-7.357929647E-2,2.273181453E-2,9.809376717E0
1.490429690E-1,-4.007977992E-2,3.230310604E-2,9.780662537E0
1.511506550E-1,-3.050848842E-2,3.230310604E-2,9.747162819E0
1.532603350E-1,-4.007977992E-2,3.589233849E-3,9.762118340E0
1.553649900E-1,-3.589234129E-2,-5.862415582E-2,9.767501831E0
1.574669690E-1,-2.572284266E-2,-1.555334684E-2,9.757332802E0
1.595841980E-1,-2.093719877E-2,3.589233849E-3,9.756733894E0
1.616920580E-1,-1.615155302E-2,-4.905286431E-2,9.781260490E0
1.638024300E-1,-2.093719877E-2,-6.340979785E-2,9.790832520E0
1.659086710E-1,-5.503492057E-2,-5.862415582E-2,9.791430473E0
1.680167130E-1,-3.589234129E-2,-7.776673883E-2,9.767501831E0
1.701254790E-1,-1.674975827E-2,-1.555334684E-2,9.723833084E0
1.722343350E-1,-1.196411345E-2,-2.033899166E-2,9.695118904E0
1.743416340E-1,-6.939185411E-2,8.374879137E-3,9.647262573E0
