"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.043197600E-2,7.635815418E-4,1.221730490E-3,1.221730490E-3
2.253881500E-2,7.635815418E-4,-1.069014193E-3,-1.221730490E-3
2.464833200E-2,7.635815418E-4,-0.000000000E0,0.000000000E0
2.675454200E-2,-4.581489484E-4,1.221730490E-3,1.221730490E-3
2.886242300E-2,-1.679879380E-3,-1.069014193E-3,1.221730490E-3
3.097031300E-2,7.635815418E-4,-1.069014193E-3,0.000000000E0
3.307909900E-2,7.635815418E-4,2.443460980E-3,1.221730490E-3
3.518746600E-2,7.635815418E-4,-2.290744567E-3,1.221730490E-3
3.729636400E-2,-4.581489484E-4,-1.069014193E-3,0.000000000E0
3.940189300E-2,-4.581489484E-4,2.443460980E-3,1.221730490E-3
4.150466700E-2,-4.581489484E-4,1.527163113E-4,0.000000000E0
4.361998200E-2,7.635815418E-4,-1.069014193E-3,0.000000000E0
4.572833900E-2,7.635815418E-4,1.221730490E-3,1.221730490E-3
4.783833600E-2,7.635815418E-4,-0.000000000E0,0.000000000E0
4.994464900E-2,7.635815418E-4,1.221730490E-3,0.000000000E0
5.205329200E-2,7.635815418E-4,-0.000000000E0,0.000000000E0
5.416235000E-2,7.635815418E-4,-0.000000000E0,-1.221730490E-3
5.626988400E-2,7.635815418E-4,1.221730490E-3,-1.221730490E-3
5.837885200E-2,7.635815418E-4,-0.000000000E0,0.000000000E0
6.048597000E-2,-4.581489484E-4,1.527163113E-4,1.221730490E-3
6.259707500E-2,7.635815418E-4,1.221730490E-3,0.000000000E0
6.471547200E-2,-4.581489484E-4,1.527163113E-4,1.221730490E-3
6.682363600E-2,-1.679879380E-3,1.527163113E-4,0.000000000E0
6.893238100E-2,-4.581489484E-4,-1.069014193E-3,-1.221730490E-3
7.103845000E-2,-4.581489484E-4,1.527163113E-4,0.000000000E0
7.314567900E-2,1.985311974E-3,-1.221730490E-3,0.000000000E0
7.525384200E-2,7.635815418E-4,-0.000000000E0,0.000000000E0
7.735794900E-2,-4.581489484E-4,-1.069014193E-3,-1.221730490E-3
7.945384600E-2,7.635815418E-4,-0.000000000E0,0.000000000E0
8.157607900E-2,-1.679879380E-3,1.527163113E-4,0.000000000E0
8.368692900E-2,-4.581489484E-4,1.527163113E-4,0.000000000E0
8.579949700E-2,7.635815418E-4,-0.000000000E0,0.000000000E0
8.790515900E-2,-4.581489484E-4,1.221730490E-3,0.000000000E0
9.001129000E-2,-4.581489484E-4,1.527163113E-4,0.000000000E0
9.211842700E-2,7.635815418E-4,-0.000000000E0,1.221730490E-3
9.422644900E-2,7.635815418E-4,-0.000000000E0,-1.221730490E-3
9.633523400E-2,-4.581489484E-4,-1.069014193E-3,0.000000000E0
9.844521900E-2,-4.581489484E-4,1.527163113E-4,0.000000000E0
1.005494570E-1,-4.581489484E-4,1.527163113E-4,0.000000000E0
1.026464320E-1,7.635815418E-4,-1.069014193E-3,0.000000000E0
1.047705260E-1,-4.581489484E-4,1.221730490E-3,1.221730490E-3
1.068776740E-1,-4.581489484E-4,1.221730490E-3,0.000000000E0
1.089898360E-1,-4.581489484E-4,1.527163113E-4,0.000000000E0
1.110919080E-1,-4.581489484E-4,-1.069014193E-3,0.000000000E0
1.131944370E-1,-4.581489484E-4,-1.069014193E-3,0.000000000E0
1.153106880E-1,-4.581489484E-4,1.527163113E-4,1.221730490E-3
1.174192390E-1,7.635815418E-4,-1.069014193E-3,-1.221730490E-3
1.195272720E-1,-4.581489484E-4,-2.290744567E-3,-1.221730490E-3
1.216259040E-1,-4.581489484E-4,-1.069014193E-3,0.000000000E0
1.237347410E-1,1.985311974E-3,-0.000000000E0,0.000000000E0
1.258529650E-1,7.635815418E-4,-0.000000000E0,2.443460980E-3
1.279620150E-1,1.985311974E-3,-0.000000000E0,1.221730490E-3
1.300706780E-1,-4.581489484E-4,1.527163113E-4,-1.221730490E-3
1.321737970E-1,7.635815418E-4,-3.512475174E-3,3.665191587E-3
1.342749420E-1,7.635815418E-4,-2.290744567E-3,2.443460980E-3
1.363934720E-1,7.635815418E-4,-1.069014193E-3,2.443460980E-3
1.385024610E-1,7.635815418E-4,-1.069014193E-3,2.443460980E-3
1.406121220E-1,7.635815418E-4,1.221730490E-3,2.443460980E-3
1.427178040E-1,7.635815418E-4,-1.221730490E-3,6.108652335E-3
1.448234140E-1,7.635815418E-4,1.221730490E-3,4.886921961E-3
1.469243360E-1,-4.581489484E-4,2.443460980E-3,4.886921961E-3
1.490429690E-1,-3.054326226E-4,3.665191587E-3,7.330383174E-3
1.511506550E-1,-3.054326226E-4,3.665191587E-3,8.552113548E-3
1.532603350E-1,-1.527163084E-3,3.665191587E-3,1.099557430E-2
1.553649900E-1,-3.054326226E-4,1.221730490E-3,1.343903504E-2
1.574669690E-1,-1.527163084E-3,2.443460980E-3,1.466076635E-2
1.595841980E-1,-1.527163084E-3,1.221730490E-3,1.832595654E-2
1.616920580E-1,-2.748893574E-3,-1.069014193E-3,2.199114859E-2
1.638024300E-1,-3.970623948E-3,1.527163113E-4,2.443460934E-2
1.659086710E-1,-3.970623948E-3,1.527163113E-4,2.687807009E-2
1.680167130E-1,-1.527163084E-3,1.221730490E-3,3.176499158E-2
1.701254790E-1,-1.527163084E-3,-0.000000000E0,3.298672289E-2
1.722343350E-1,-3.970623948E-3,-3.512475174E-3,3.787364438E-2
1.743416340E-1,-3.970623948E-3,-7.177666761E-3,4.031710699E-2
1.764492190E-1,-3.970623948E-3,-8.399397135E-3,4.031710699E-2
1.785554310E-1,-1.527163084E-3,-9.621127509E-3,4.031710699E-2
1.806666780E-1,-1.527163084E-3,-8.399397135E-3,3.665191308E-2
1.827748120E-1,-3.054326226E-4,-1.084285788E-2,3.176499158E-2
