"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.367649995E-2,-3.392086364E-3,2.122195438E-4,2.557134721E-4
2.372649999E-2,-7.530674338E-6,4.417542368E-4,2.591712633E-3
3.377649997E-2,-5.223196931E-4,-1.531382091E-3,-5.068753380E-4
4.382549995E-2,-1.040654257E-3,-1.651333645E-3,-1.254612347E-3
5.387549999E-2,6.371373311E-4,-1.197797712E-3,-5.512714852E-4
6.392549997E-2,1.070956234E-3,1.724936301E-3,1.035176683E-3
7.397549995E-2,7.745460607E-4,3.041401505E-4,2.105767373E-3
8.402449999E-2,5.058674142E-4,1.937293680E-3,1.356156077E-3
9.407449997E-2,2.699112520E-4,-1.748254988E-3,-6.398831028E-4
1.041245000E-1,-1.618432347E-3,2.925614128E-3,-2.502568532E-4
1.141735000E-1,-2.030423377E-3,-3.277035430E-4,-2.177662682E-4
1.242235000E-1,1.786823850E-3,8.576037362E-4,6.940395106E-4
1.342734999E-1,2.239365131E-6,2.298906446E-3,1.330801053E-3
1.443225000E-1,3.209551796E-4,2.476715250E-3,-9.246668778E-4
1.543725000E-1,2.091957256E-3,1.935294596E-3,2.447271254E-4
1.644224999E-1,7.094219327E-4,1.975069521E-3,1.380711561E-3
1.744715000E-1,4.217028618E-6,4.131963477E-3,3.149583237E-3
1.845215000E-1,4.377542064E-4,4.698919598E-3,4.494742025E-4
1.945714999E-1,5.908859894E-4,7.771486416E-4,1.282777404E-3
2.046205000E-1,1.426577568E-3,5.263172090E-3,8.830253500E-4
2.146705000E-1,-2.898129867E-3,1.215167111E-3,3.975488245E-3
2.247204999E-1,1.291157678E-3,5.269731395E-3,4.770723172E-4
2.347705000E-1,-7.813144475E-4,1.295762602E-3,1.633150503E-3
2.448195000E-1,1.318616327E-3,2.206553007E-3,1.480956562E-4
2.548695000E-1,2.430752385E-3,-3.769793548E-4,-3.456545528E-4
2.649195000E-1,-1.090952195E-3,2.580685541E-4,-2.576926025E-3
2.749685000E-1,-1.059260685E-3,2.333469922E-3,8.974338416E-4
2.850185000E-1,-6.567412056E-4,-2.400372643E-3,1.666676486E-3
2.950685000E-1,9.097303264E-4,-1.421927474E-3,7.196564693E-4
3.051175000E-1,2.896755934E-3,3.256564960E-4,8.985565510E-4
3.151675000E-1,8.887327276E-4,-2.651757561E-3,-1.150212949E-3
3.252175000E-1,-5.743759684E-4,9.515304118E-4,2.895249054E-4
3.352665000E-1,8.163265884E-4,1.157925231E-3,-6.494182162E-5
3.453165000E-1,-1.619235147E-3,-2.425669692E-3,-5.671300460E-4
3.553665000E-1,1.108108088E-3,-9.108637460E-4,-2.311766846E-3
3.654155000E-1,8.482336998E-4,1.528351568E-4,9.658972267E-4
3.754655000E-1,3.749480937E-3,-2.857875079E-4,-1.238401281E-3
3.855155000E-1,-2.509355545E-5,-3.937494941E-3,-1.462278655E-3
3.955645000E-1,4.311059602E-4,-1.334787346E-3,-1.956561347E-3
4.056145000E-1,5.013113841E-4,-6.023840979E-4,-3.675275948E-4
4.156645000E-1,-1.961705275E-4,-2.288431395E-3,-2.694863826E-3
4.257145000E-1,-2.037027385E-3,-1.166811213E-3,-2.418866381E-3
4.357635000E-1,1.384069677E-3,-8.280570619E-4,2.000649460E-3
4.458135000E-1,-1.932771411E-3,3.187667578E-3,-2.319582738E-3
4.558635000E-1,-1.785475761E-4,-6.330470555E-3,-2.548340708E-4
4.659125000E-1,-1.294564456E-3,-2.702012658E-3,-1.586081227E-3
4.759625000E-1,1.103345770E-3,-2.271645702E-3,-1.108786091E-5
4.860125000E-1,-4.280288704E-4,3.844167339E-3,1.441982109E-3
4.960615000E-1,1.031649765E-3,-5.966536701E-4,-2.533863299E-4
5.061115000E-1,5.770553835E-4,-2.689176239E-3,-4.532362334E-3
5.161615000E-1,-5.015251227E-4,-3.157360014E-3,1.694485545E-4
5.262105000E-1,-2.817999572E-3,-1.425551064E-2,9.541623294E-4
5.362605000E-1,-1.214776654E-3,-4.056669306E-3,-1.177698141E-3
5.463105000E-1,9.425487369E-4,1.122714020E-4,1.397281885E-4
5.563595000E-1,-4.887111019E-3,-1.220724545E-2,-1.525546424E-3
5.664095000E-1,-3.324359888E-3,-9.394012392E-3,-1.868384890E-2
5.764594999E-1,5.753824022E-3,-1.882301178E-3,-1.449778676E-1
5.865085000E-1,7.174164522E-3,1.219854131E-2,-2.065294981E-1
5.965585000E-1,5.558425095E-3,1.698229695E-3,-2.737141252E-1
6.066084999E-1,4.505144898E-3,-7.825046778E-4,-3.621537089E-1
6.166585000E-1,4.913141485E-3,-1.375058200E-3,-4.342678487E-1
6.267075000E-1,7.053643465E-3,-1.004906371E-4,-4.685113430E-1
6.367574999E-1,3.594197333E-3,-3.165523056E-3,-4.773176312E-1
6.468075000E-1,9.896946140E-4,-1.151263248E-3,-4.560379982E-1
6.568565000E-1,3.563640174E-3,-1.685568132E-4,-3.729114234E-1
6.669064999E-1,6.050202064E-4,-6.435605697E-3,-2.848969698E-1
6.769565000E-1,-1.184624154E-3,-1.116191782E-2,-2.190905511E-1
6.870055000E-1,-3.532599658E-4,-1.098400913E-2,-2.035158724E-1
6.970555000E-1,1.849174034E-3,-1.072541624E-2,-2.475728095E-1
7.071055000E-1,-2.117296215E-3,-7.620483637E-3,-2.652375996E-1
7.171545000E-1,1.648147590E-3,-1.072759368E-2,-2.625715137E-1
7.272010000E-1,2.332818694E-4,-5.999309476E-3,-2.550644577E-1
7.372510000E-1,-1.784428023E-4,-8.168188855E-3,-2.381142229E-1
7.473000000E-1,3.815903328E-4,-1.038489118E-2,-2.506225109E-1
7.573500000E-1,9.094285779E-4,-1.289997995E-2,-2.708550990E-1
7.674000000E-1,3.047861159E-3,-1.201773249E-2,-2.983192205E-1
7.774490000E-1,-1.058199909E-3,-8.876534179E-3,-2.454762310E-1
7.874990000E-1,-5.812281743E-4,-6.542273797E-3,-1.952436864E-1
7.975490000E-1,6.057429127E-4,-7.082895376E-3,-3.509166539E-1
8.075990000E-1,3.849663306E-3,-1.189205796E-2,-5.920627117E-1
8.176480000E-1,3.308242653E-3,-8.306112140E-3,-5.729063153E-1
8.276980000E-1,2.924899571E-3,-8.399002254E-3,-4.201737046E-1
8.377480000E-1,4.115066491E-3,-1.751753036E-3,-3.753364682E-1
8.477970000E-1,4.424754996E-3,-1.746231690E-3,-3.988381624E-1
8.578469999E-1,2.030572388E-3,-9.193201549E-4,-1.569786370E-1
8.678970000E-1,1.385408454E-3,2.679315163E-3,2.256922722E-1
8.779460000E-1,2.549210098E-3,-3.696292639E-3,2.467006147E-1
8.879959999E-1,1.487752423E-3,-9.210800752E-3,6.184951402E-3
8.980460000E-1,-1.292055007E-3,4.072780255E-3,-1.591134518E-1
9.080950000E-1,9.289224632E-3,7.546486333E-3,-2.429762781E-1
9.181449999E-1,3.933075815E-3,-3.819633275E-5,-2.209753692E-1
9.281950000E-1,6.089077797E-3,-3.678142093E-3,-1.660701931E-1
9.382440000E-1,6.981236394E-3,-1.576276869E-2,-4.511446878E-2
9.482940000E-1,3.721886314E-3,-1.137953345E-2,5.600563809E-2
9.583440000E-1,2.199357376E-3,3.298744559E-3,-1.189094484E-1
9.683930000E-1,3.060227260E-3,-4.895962309E-3,-2.099552900E-1
9.784430000E-1,2.178188413E-3,-5.934061948E-3,1.770680696E-1
9.884930000E-1,-1.651267521E-4,-6.919165608E-3,4.429601729E-1
9.985430000E-1,-3.466647584E-3,-5.082916003E-3,4.968399107E-1
1.008592000E0,6.305482239E-4,1.396413893E-3,3.954676092E-1
1.018642000E0,3.398904577E-3,1.487229019E-4,1.344794333E-1
1.028692000E0,4.557342734E-3,6.318547763E-3,8.890108019E-2
1.038741000E0,2.996463794E-3,2.814279869E-4,2.265992910E-1
1.048791000E0,7.055998780E-3,2.989887958E-3,3.902241886E-1
1.058841000E0,7.192729972E-4,-2.872756310E-2,3.260292113E-1
1.068890000E0,5.846959539E-3,-2.756665461E-2,2.088563591E-1
1.078940000E0,-3.439217107E-3,-2.309946716E-2,1.710730195E-1
1.088990000E0,-7.558101788E-4,-1.313160360E-2,2.187674195E-1
1.099039000E0,-3.798205173E-3,-1.790532377E-3,2.033008486E-1
1.109089000E0,3.727196716E-3,6.368532777E-4,1.364964992E-1
1.119139000E0,2.786694095E-4,-1.300330274E-3,1.628324986E-1
1.129188000E0,2.770000137E-4,-6.438475102E-3,2.318026125E-1
1.139238000E0,-1.203983556E-3,5.785966292E-3,1.721283495E-1
1.149288000E0,-2.110595815E-3,4.553311504E-3,3.297564760E-2
1.159338000E0,-1.562250778E-3,6.118451245E-3,6.286246702E-3
1.169387000E0,-1.072428841E-2,9.506591596E-4,3.164063692E-1
1.179437000E0,-1.422767621E-2,-1.696522813E-3,5.011863112E-1
1.189487000E0,-9.317118675E-3,-8.936695755E-3,6.526695490E-1
1.199536000E0,-1.826986670E-2,-2.353001945E-2,8.702899814E-1
1.209586000E0,-2.297434211E-2,-1.531751454E-2,1.115540862E0
1.219636000E0,-2.003607526E-2,-1.363998838E-2,1.062898755E0
1.229685000E0,-2.160437033E-2,-7.821409032E-3,8.558881283E-1
1.239735000E0,-6.797195878E-3,1.670870185E-2,4.588579237E-1
1.249785000E0,-1.587705500E-2,4.724300001E-3,1.888318807E-1
1.259834000E0,3.342711367E-3,1.147221774E-2,1.393599361E-1
1.269884000E0,1.158392057E-3,6.242068950E-3,2.493519634E-1
1.279934000E0,-1.177178789E-2,-1.399395987E-2,4.075914025E-1
1.289983000E0,1.544660423E-3,-2.253157459E-2,5.549243689E-1
1.300033000E0,-4.381937906E-3,-2.094299905E-2,6.236608028E-1
1.310083000E0,-5.529192276E-4,-1.709905639E-2,6.861265898E-1
1.320133000E0,2.509183716E-3,-3.158079460E-2,7.884950042E-1
1.330182000E0,-1.129873563E-3,-2.079029568E-2,8.827452660E-1
1.340232000E0,4.711504560E-3,-3.260087967E-2,9.040963650E-1
1.350282000E0,1.657121815E-3,-1.967507601E-2,8.510233760E-1
1.360331000E0,2.493101917E-2,-7.080058008E-2,7.085520029E-1
1.370381000E0,1.667783260E-1,-3.531591296E-1,4.231790304E-1
1.380431000E0,1.868793219E-1,-3.870081604E-1,1.913918704E-1
1.390480000E0,1.674945094E-2,-6.537962705E-2,2.075004391E-2
1.400530000E0,2.934037242E-3,-9.084666148E-3,-1.909457333E-2
1.410580000E0,-3.773405682E-3,-9.822739288E-3,1.276337774E-3
1.420629000E0,-5.292738788E-3,-2.916097175E-3,3.186356975E-3
