"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-9.287083521E-4,-3.993319385E-3,3.511933880E-2,-4.335301101E-2,5.593566055E-2
9.121291630E-3,-1.046323610E-2,2.593385180E-2,-2.643877029E-2,3.848444561E-2
1.917229168E-2,-3.067184379E-3,3.555076510E-2,-1.027355790E-2,3.713233781E-2
2.922229166E-2,-2.501173904E-3,2.525105005E-2,-5.113916337E-2,5.708840014E-2
3.927329165E-2,-1.377930173E-2,2.268501545E-2,-4.365355790E-2,5.108925718E-2
4.932329163E-2,1.906438982E-3,2.263445759E-2,-4.634853959E-2,5.161531073E-2
5.937429168E-2,-5.981372707E-3,2.385174053E-2,-2.674048662E-2,3.632817048E-2
6.942429167E-2,-1.428045379E-2,3.773443520E-2,-2.958574176E-2,5.003134093E-2
7.947529166E-2,-4.367851820E-3,3.850316133E-2,-3.736838579E-2,5.383277643E-2
8.952529164E-2,-6.947826091E-3,4.369033140E-2,-3.138142169E-2,5.423938580E-2
9.957629169E-2,-1.288059382E-3,3.919657258E-2,-4.230928302E-2,5.768973764E-2
1.096272917E-1,-2.371776849E-3,3.185975133E-2,-3.931609333E-2,5.065988822E-2
1.196772917E-1,-6.166638080E-3,2.746205816E-2,-3.662052691E-2,4.618717414E-2
1.297282916E-1,-9.275365099E-3,2.909472868E-2,-2.988453448E-2,4.272728678E-2
1.397782916E-1,-4.773018183E-3,1.958245998E-2,-2.045414507E-2,2.871631056E-2
1.498292917E-1,-2.148157395E-3,2.379469592E-2,-3.452371538E-2,4.198439064E-2
1.598792917E-1,-1.353725441E-2,2.606326941E-2,-3.901262283E-2,4.883171111E-2
1.699302917E-1,-2.772968933E-3,2.558064115E-2,-2.434371293E-2,3.542139067E-2
1.799802916E-1,-1.944199204E-5,2.778113798E-2,-3.916465044E-2,4.801730781E-2
1.900312917E-1,-6.863023192E-3,1.850800441E-2,-3.632231891E-2,4.133954724E-2
2.000812917E-1,-2.153593479E-3,2.671073434E-2,-2.868936360E-2,3.925787663E-2
2.101322917E-1,-2.714323187E-3,2.781656388E-2,-3.093469441E-2,4.169033575E-2
2.201832916E-1,-2.729005180E-3,2.305419859E-2,-2.614465535E-2,3.496407507E-2
2.302332916E-1,-4.041202599E-3,2.567567439E-2,-3.467632771E-2,4.333611977E-2
2.402842917E-1,-1.408356708E-3,3.192399305E-2,-3.512597859E-2,4.748641040E-2
2.503342917E-1,-3.269379269E-3,3.588507509E-2,-3.302975178E-2,4.888140707E-2
2.603852917E-1,-3.816925334E-3,2.507286985E-2,-2.629492879E-2,3.653273877E-2
2.704352916E-1,-8.350664489E-3,2.383820971E-2,-3.407757282E-2,4.241785955E-2
2.804862917E-1,-4.103987077E-3,1.565722640E-2,-3.078149736E-2,3.477775191E-2
2.905362917E-1,-1.245191982E-3,1.978356994E-2,-2.240068316E-2,2.991205023E-2
3.005872917E-1,-9.863594994E-3,3.186854043E-2,-2.868877888E-2,4.399932282E-2
3.106382916E-1,3.439003341E-3,4.214737453E-2,-2.419811726E-2,4.872142037E-2
3.206882917E-1,5.251293015E-3,3.579393847E-2,-2.794033527E-2,4.571044131E-2
3.307392917E-1,8.719916157E-3,3.247330013E-2,-2.584410846E-2,4.240837301E-2
3.407892917E-1,-1.122108093E-3,2.400843678E-2,-3.078325152E-2,3.905474027E-2
3.508402916E-1,-1.411853160E-2,3.032967204E-2,-3.931492388E-2,5.162252590E-2
3.608902916E-1,-1.960250725E-2,2.612575240E-2,-3.437461138E-2,4.741758256E-2
3.709412917E-1,-4.114311067E-3,2.689337761E-2,-3.377702594E-2,4.337129000E-2
3.809912917E-1,-8.789762976E-3,2.570955398E-2,-3.033418536E-2,4.072350550E-2
3.910422917E-1,-8.205863675E-3,2.172675502E-2,-2.703927934E-2,3.564422407E-2
4.010922916E-1,-1.274630886E-2,3.478198872E-2,-3.572180986E-2,5.146166368E-2
4.111432917E-1,-1.422786539E-2,2.724100600E-2,-3.003363848E-2,4.297119968E-2
4.211932917E-1,-8.670269642E-3,2.953556534E-2,-1.416604936E-2,3.388510218E-2
4.312442917E-1,-5.919894716E-3,2.934805016E-2,-2.853558183E-2,4.135979487E-2
4.412952916E-1,-6.512309024E-3,2.883076343E-2,-4.066095293E-2,5.026864014E-2
4.513452916E-1,3.181488309E-3,2.949420086E-2,-3.003129959E-2,4.221266051E-2
4.613962917E-1,1.837953469E-3,2.412079011E-2,-2.314795732E-2,3.348161461E-2
4.714462917E-1,8.621381437E-3,2.122357242E-2,-3.138025224E-2,3.885213604E-2
4.814972917E-1,-2.935366211E-3,1.991331874E-2,-2.868410110E-2,3.504189342E-2
4.915472916E-1,-5.838353466E-4,2.028994567E-2,-3.107912064E-2,3.712054011E-2
5.015982917E-1,4.757194156E-3,2.425550676E-2,-2.973250687E-2,3.866500316E-2
5.116482917E-1,1.446012776E-2,4.119656702E-2,-1.491566241E-2,4.613815573E-2
5.216992917E-1,4.023295501E-3,3.746798489E-2,-4.769924641E-2,6.078860836E-2
5.317492916E-1,1.119969291E-2,4.426063593E-2,-2.718955278E-2,5.313858103E-2
5.418002917E-1,-5.921603199E-3,3.072558793E-2,-3.422609210E-2,4.637405005E-2
5.518512917E-1,-1.162159692E-2,2.799142760E-2,-5.488313556E-2,6.269561470E-2
5.619012917E-1,-2.245969436E-2,1.988849091E-2,-2.045531452E-2,3.630991371E-2
5.719522916E-1,-9.960987680E-3,2.211329708E-2,-4.919671834E-2,5.485012560E-2
5.820022916E-1,-1.279431084E-2,2.548133441E-2,-3.961605549E-2,4.881008754E-2
5.920532917E-1,-1.726710191E-2,1.991878223E-2,2.295032144E-3,2.646087426E-2
6.021032917E-1,-1.829623014E-2,1.182423721E-2,-9.335606039E-2,9.586406331E-2
6.121542917E-1,-9.322307277E-3,1.844561279E-2,-2.914018393E-2,3.572529025E-2
6.222042916E-1,-1.092715784E-2,3.618880368E-2,6.037250161E-3,3.828159714E-2
6.322552917E-1,-1.624114397E-2,2.401451240E-2,-6.207228720E-2,6.850868851E-2
6.423052917E-1,-1.750427959E-2,3.657674360E-2,1.741417766E-2,4.413061930E-2
6.523562917E-1,-9.013702199E-3,3.381855031E-2,-5.638060749E-2,6.636048578E-2
6.624072916E-1,-7.367126271E-3,2.447435708E-2,-1.730951250E-2,3.086888283E-2
6.724572917E-1,2.070636107E-3,1.862713229E-2,-3.437402666E-2,3.915138950E-2
6.825082917E-1,6.917795157E-3,2.354940979E-2,-4.260632157E-2,4.917041010E-2
6.925582917E-1,1.073268310E-2,2.152918536E-2,-3.751632035E-2,4.456647396E-2
7.026092916E-1,6.510774130E-3,2.749102015E-2,-1.655814528E-2,3.274627527E-2
7.126592916E-1,1.299159955E-3,2.937978958E-2,-3.736429274E-2,4.754945030E-2
7.227102917E-1,-1.455865335E-4,2.637491916E-2,-3.923481703E-4,2.637823901E-2
7.327602917E-1,-1.076681622E-2,3.625325324E-2,-5.862067580E-2,6.976106603E-2
7.428112917E-1,-3.888434954E-3,3.983286385E-2,-1.162017167E-2,4.167499680E-2
7.528612916E-1,-1.360816103E-2,3.286158723E-2,-5.922352374E-2,6.908322318E-2
7.629122917E-1,-9.193860395E-3,2.711270758E-2,-7.883333087E-2,8.387085332E-2
7.729632917E-1,-1.091232967E-2,2.666089597E-2,1.997993588E-3,2.887688160E-2
7.830132917E-1,-2.846259213E-2,3.188814459E-2,1.636752605E-2,4.576973700E-2
7.930642916E-1,-1.560913305E-2,2.821111846E-2,-3.542594075E-2,4.790103879E-2
8.031142916E-1,-4.204787593E-3,3.112293136E-2,-6.955438435E-2,7.631598442E-2
8.131652917E-1,3.767041275E-3,2.947823065E-2,6.937136650E-3,3.051688954E-2
8.232152917E-1,9.230378084E-5,2.899012975E-2,-5.952348590E-2,6.620786597E-2
8.332662917E-1,-8.591752499E-4,3.228972497E-2,-8.927528858E-3,3.351216633E-2
8.433162916E-1,3.870025361E-3,2.307601145E-2,-1.027355790E-2,2.555436152E-2
8.533672917E-1,1.398347005E-2,2.572898912E-2,-4.574861526E-2,5.431808276E-2
8.634172917E-1,6.413847394E-4,2.639842451E-2,-3.601884842E-2,4.466145578E-2
8.734682917E-1,-2.535882611E-3,3.430083596E-2,-4.185495436E-2,5.417393518E-2
8.835182916E-1,-3.162091998E-3,3.177803650E-2,-2.299476027E-2,3.935227350E-2
8.935727917E-1,7.407691330E-5,2.876641437E-2,-2.958106399E-2,4.126198528E-2
9.036237916E-1,-1.094066125E-2,2.593193090E-2,-2.464250565E-2,3.740877161E-2
9.136737917E-1,-1.259693990E-2,1.504930783E-2,-2.778596878E-2,3.401800438E-2
9.237247917E-1,-7.530482858E-3,1.745725291E-2,-4.799453080E-2,5.162304560E-2
9.337747917E-1,-9.307826282E-3,2.257118889E-2,-2.673814774E-2,3.620804803E-2
9.438257916E-1,-7.910889918E-3,2.529635455E-2,-1.820764482E-2,3.215596465E-2
9.538757916E-1,-1.616809946E-2,2.856778263E-2,-4.634970903E-2,5.679631301E-2
9.639267917E-1,-5.529483436E-3,2.948373297E-2,-2.120375812E-2,3.673506575E-2
9.739767917E-1,-8.713228405E-3,2.736538039E-2,-4.246014118E-2,5.126058898E-2
9.840277917E-1,-3.638612665E-3,3.215447841E-2,-2.659313679E-2,4.188490072E-2
9.940777916E-1,-4.414337184E-3,2.538185637E-2,-1.641254961E-2,3.054663305E-2
1.004128792E0,-7.437347677E-3,1.520204807E-2,-4.949434161E-2,5.230780303E-2
