Force 1,Force 2
838.6962890625,1399.4384765625
838.6962890625,1404.2724609375
842.724609375,1404.2724609375
845.947265625,1408.30078125
830.6396484375,1432.470703125
836.279296875,1436.4990234375
840.3076171875,1440.52734375
845.1416015625,1446.1669921875
849.169921875,1451.0009765625
857.2265625,1452.6123046875
861.2548828125,1455.8349609375
866.89453125,1457.4462890625
869.3115234375,1461.474609375
873.33984375,1465.5029296875
875.7568359375,1465.5029296875
879.78515625,1467.919921875
881.396484375,1469.53125
882.2021484375,1471.9482421875
886.23046875,1472.75390625
887.841796875,1479.19921875
890.2587890625,1480.0048828125
894.287109375,1480.0048828125
894.287109375,1484.033203125
895.8984375,1485.64453125
898.3154296875,1487.255859375
898.3154296875,1487.255859375
899.9267578125,1488.8671875
901.5380859375,1489.6728515625
903.1494140625,1490.478515625
905.56640625,1492.08984375
907.177734375,1494.5068359375
907.9833984375,1496.1181640625
909.5947265625,1496.923828125
911.2060546875,1497.7294921875
913.623046875,1500.9521484375
915.234375,1500.9521484375
916.845703125,1501.7578125
918.45703125,1500.9521484375
917.6513671875,1500.9521484375
915.234375,1496.923828125
908.7890625,1494.5068359375
902.34375,1492.08984375
887.0361328125,1488.0615234375
870.1171875,1481.6162109375
854.00390625,1479.19921875
844.3359375,1480.0048828125
843.5302734375,1482.421875
847.55859375,1486.4501953125
849.169921875,1489.6728515625
849.9755859375,1487.255859375
845.947265625,1482.421875
830.6396484375,1475.9765625
808.0810546875,1463.8916015625
797.607421875,1463.0859375
795.1904296875,1459.86328125
798.4130859375,1454.2236328125
803.2470703125,1451.806640625
804.052734375,1447.7783203125
809.6923828125,1442.9443359375
812.9150390625,1440.52734375
812.109375,1443.75
811.3037109375,1442.138671875
809.6923828125,1440.52734375
808.0810546875,1435.693359375
810.498046875,1433.2763671875
807.275390625,1431.6650390625
791.162109375,1428.4423828125
777.4658203125,1420.3857421875
760.546875,1407.4951171875
744.43359375,1399.4384765625
732.3486328125,1394.6044921875
723.486328125,1391.3818359375
717.8466796875,1388.96484375
717.041015625,1392.1875
728.3203125,1401.85546875
734.765625,1412.3291015625
745.2392578125,1423.6083984375
746.8505859375,1433.2763671875
752.490234375,1442.9443359375
751.6845703125,1451.806640625
755.712890625,1457.4462890625
754.9072265625,1461.474609375
750.0732421875,1467.919921875
750.0732421875,1474.365234375
756.5185546875,1484.033203125
759.7412109375,1494.5068359375
760.546875,1499.3408203125
761.3525390625,1509.814453125
762.9638671875,1519.482421875
767.7978515625,1528.3447265625
768.603515625,1534.7900390625
769.4091796875,1542.8466796875
771.0205078125,1550.9033203125
771.0205078125,1557.3486328125
775.048828125,1562.98828125
778.271484375,1568.6279296875
783.9111328125,1571.8505859375
785.5224609375,1573.4619140625
789.55078125,1579.1015625
792.7734375,1585.546875
791.9677734375,1590.380859375
795.1904296875,1591.1865234375
799.21875,1593.603515625
798.4130859375,1596.826171875
799.21875,1600.048828125
800.830078125,1602.4658203125
800.830078125,1606.494140625
804.052734375,1609.716796875
803.2470703125,1611.328125
804.8583984375,1614.55078125
803.2470703125,1618.5791015625
800.830078125,1619.384765625
804.052734375,1622.607421875
804.052734375,1625.0244140625
808.88671875,1625.830078125
808.0810546875,1627.44140625
806.4697265625,1629.052734375
807.275390625,1632.275390625
808.88671875,1633.0810546875
810.498046875,1635.498046875
812.9150390625,1636.3037109375
813.720703125,1637.9150390625
812.109375,1638.720703125
812.109375,1639.5263671875
814.5263671875,1643.5546875
818.5546875,1645.166015625
818.5546875,1645.9716796875
818.5546875,1648.388671875
818.5546875,1648.388671875
819.3603515625,1647.5830078125
820.166015625,1647.5830078125
824.1943359375,1648.388671875
823.388671875,1648.388671875
825.0,1650.8056640625
825.0,1649.1943359375
825.8056640625,1650.0
825.8056640625,1651.611328125
827.4169921875,1652.4169921875
828.22265625,1654.833984375
829.833984375,1656.4453125
833.056640625,1656.4453125
832.2509765625,1655.6396484375
833.056640625,1657.2509765625
833.056640625,1656.4453125
832.2509765625,1654.0283203125
831.4453125,1657.2509765625
832.2509765625,1658.056640625
833.056640625,1658.8623046875
833.8623046875,1662.0849609375
836.279296875,1662.0849609375
835.4736328125,1662.0849609375
837.890625,1662.890625
839.501953125,1663.6962890625
837.890625,1666.9189453125
834.66796875,1666.11328125
834.66796875,1664.501953125
828.22265625,1656.4453125
829.0283203125,1658.8623046875
833.056640625,1662.0849609375
835.4736328125,1665.3076171875
832.2509765625,1667.724609375
831.4453125,1666.9189453125
832.2509765625,1669.3359375
825.0,1668.5302734375
808.0810546875,1674.169921875
788.7451171875,1674.169921875
786.328125,1672.55859375
779.0771484375,1675.78125
758.1298828125,1673.3642578125
730.7373046875,1679.8095703125
704.150390625,1682.2265625
704.150390625,1688.671875
708.1787109375,1688.671875
684.0087890625,1691.0888671875
658.2275390625,1691.0888671875
660.64453125,1697.5341796875
664.6728515625,1699.951171875
660.64453125,1700.7568359375
655.810546875,1700.7568359375
644.53125,1703.9794921875
642.919921875,1704.78515625
633.251953125,1704.78515625
626.806640625,1704.78515625
633.251953125,1704.78515625
638.0859375,1702.3681640625
642.919921875,1699.951171875
657.421875,1701.5625
659.8388671875,1705.5908203125
659.033203125,1702.3681640625
669.5068359375,1703.173828125
679.1748046875,1703.9794921875
