"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.116449997E-2,-2.694396973E-1,1.169068909E-1,9.722731476E0
2.121449995E-2,-2.625540161E-1,1.002914429E-1,9.813293152E0
3.126449999E-2,-2.242337036E-1,8.502319336E-2,9.728419647E0
4.131349997E-2,-2.139051819E-1,7.289840698E-2,9.759854279E0
5.136349995E-2,-1.809736633E-1,6.990463257E-2,9.790390778E0
6.141349999E-2,-1.456471252E-1,8.307723999E-2,9.732461243E0
7.146349997E-2,-1.302291870E-1,9.729766846E-2,9.781858521E0
8.151249995E-2,-1.332229614E-1,1.014889526E-1,9.763297119E0
9.156249999E-2,-1.555265808E-1,1.161584473E-1,9.767039337E0
1.016125000E-1,-1.654060364E-1,1.149609375E-1,9.763297119E0
1.116614999E-1,-1.811233521E-1,1.116677856E-1,9.757608948E0
1.217115000E-1,-1.785786438E-1,1.047821045E-1,9.778116302E0
1.317615000E-1,-1.916015625E-1,8.322692871E-2,9.775571594E0
1.418104999E-1,-1.824705505E-1,7.664062500E-2,9.740394745E0
1.518605000E-1,-1.589694214E-1,7.484436035E-2,9.780361633E0
1.619105000E-1,-1.462458801E-1,7.244934082E-2,9.754764862E0
1.719594999E-1,-1.332229614E-1,8.487350464E-2,9.746681671E0
1.820095000E-1,-1.450483704E-1,8.771759033E-2,9.777517548E0
1.920595000E-1,-1.434017944E-1,9.385482788E-2,9.796528015E0
2.021085000E-1,-1.681004333E-1,9.475296021E-2,9.700577545E0
2.121585000E-1,-2.245330811E-1,1.029858398E-1,9.848919067E0
2.222085000E-1,-2.650987244E-1,1.125659180E-1,9.755513306E0
2.322584999E-1,-2.716850281E-1,1.187031555E-1,9.760453033E0
2.423075000E-1,-2.662962341E-1,1.115180969E-1,9.807754669E0
2.523575000E-1,-2.417472839E-1,9.520202637E-2,9.755662994E0
2.624074999E-1,-2.098635864E-1,9.205856323E-2,9.780361633E0
2.724565000E-1,-1.893562317E-1,8.023315430E-2,9.773326263E0
2.825065000E-1,-1.966909790E-1,8.173004150E-2,9.756561127E0
2.925564999E-1,-1.746867371E-1,8.412506104E-2,9.776619415E0
3.026055000E-1,-1.625619507E-1,8.711883545E-2,9.729916534E0
3.126555000E-1,-1.471440125E-1,9.131011963E-2,9.783954163E0
3.227054999E-1,-1.523831177E-1,9.804611206E-2,9.790091400E0
3.327545000E-1,-1.724414062E-1,1.029858398E-1,9.744885406E0
3.428045000E-1,-2.019300842E-1,9.909393311E-2,9.803413696E0
3.528545000E-1,-2.441423035E-1,9.999206543E-2,9.772877197E0
3.629035000E-1,-2.570155334E-1,9.175918579E-2,9.743687897E0
3.729535000E-1,-2.595602417E-1,9.310638428E-2,9.802365875E0
3.830035000E-1,-2.418969727E-1,9.595046997E-2,9.757608948E0
3.930525000E-1,-2.357597351E-1,1.011895752E-1,9.757159882E0
4.031025000E-1,-2.074685669E-1,1.077758789E-1,9.786798248E0
4.131525000E-1,-1.755848694E-1,1.056802368E-1,9.764195251E0
4.232025000E-1,-1.469943237E-1,1.047821045E-1,9.762997742E0
4.332515000E-1,-1.422042847E-1,1.022373962E-1,9.785151672E0
4.433015000E-1,-1.290316772E-1,9.924362183E-2,9.757608948E0
4.533515000E-1,-1.465452576E-1,8.951385498E-2,9.753866730E0
4.634005000E-1,-1.553768921E-1,9.340576172E-2,9.839338989E0
4.734505000E-1,-1.616638184E-1,8.756790161E-2,9.724976807E0
4.835005000E-1,-1.902543640E-1,9.864486694E-2,9.721084900E0
4.935495000E-1,-2.088157654E-1,8.891510010E-2,9.800569611E0
5.035995000E-1,-2.477348328E-1,7.873626709E-2,9.772727509E0
5.136495000E-1,-2.499801636E-1,9.071136475E-2,9.758507080E0
5.236985000E-1,-2.249821472E-1,9.250762939E-2,9.793534241E0
5.337485000E-1,-1.695973206E-1,1.161584473E-1,9.740993500E0
5.437985000E-1,-1.508862305E-1,1.146615601E-1,9.756261749E0
5.538474999E-1,-1.341210938E-1,1.143621826E-1,9.810449066E0
5.638975000E-1,-1.706451416E-1,1.034349060E-1,9.812095642E0
5.739475000E-1,-5.610333252E-1,8.637039185E-2,9.729467468E0
5.839964999E-1,-1.540296936E0,1.332229614E-1,9.690398712E0
5.940465000E-1,-1.129102020E0,-2.652484131E-1,9.698481903E0
6.040965000E-1,-1.323996735E0,-4.102967834E-1,9.839488678E0
6.141465000E-1,-1.700164490E0,-4.462220764E-1,9.755064240E0
6.241955000E-1,-1.677561493E0,-3.353027344E-1,9.753866730E0
6.342455000E-1,-1.515897675E0,-2.347119141E-1,9.767338715E0
6.442955000E-1,-1.451681213E0,-2.483335876E-1,9.743987274E0
6.543445000E-1,-1.526974640E0,-2.095642090E-1,9.763297119E0
6.643945000E-1,-1.599573669E0,8.711883545E-2,9.761800232E0
6.744444999E-1,-1.589544525E0,3.028202820E-1,9.801467743E0
6.844935000E-1,-1.440304871E0,2.881507874E-1,9.742640076E0
6.945435000E-1,-1.415157166E0,1.601669312E-1,9.670490112E0
7.045934999E-1,-1.450034637E0,1.642085266E-1,9.765392761E0
7.146425000E-1,-1.292262726E0,1.924996948E-1,9.765692139E0
7.246890000E-1,-1.332229614E0,1.203497314E-1,9.772727509E0
7.347390000E-1,-1.386117554E0,2.414479065E-1,9.711055756E0
7.447880000E-1,-1.108145599E0,2.748284912E-1,9.757908325E0
7.548380000E-1,-1.259480896E0,2.049238586E-1,9.801767120E0
7.648880000E-1,-1.524280243E0,1.013392639E-1,9.742191010E0
7.749370000E-1,-1.826202393E0,1.901046753E-1,9.773925018E0
7.849870000E-1,-1.975891113E0,4.719685364E-1,9.721234589E0
7.950370000E-1,-2.254461823E0,2.885998535E-1,9.738598480E0
8.050870000E-1,-2.418670349E0,-2.230361938E-2,9.753267975E0
8.151360000E-1,-2.261497192E0,3.936813354E-2,9.750274200E0
8.251860000E-1,-1.363215179E0,4.303550720E-1,9.715546417E0
8.352360000E-1,-1.540296936E0,3.227288818E-1,9.723330231E0
8.452850000E-1,-2.381846924E0,1.175056458E-1,9.717342682E0
8.553350000E-1,-2.569855957E0,3.243754578E-1,9.739047546E0
8.653850000E-1,-1.773661652E0,7.566764832E-1,9.767488403E0
8.754340000E-1,-2.297123108E0,4.433779907E-1,9.709858246E0
8.854840000E-1,-2.433938599E0,2.335144043E-2,9.777667236E0
8.955340000E-1,-1.939965820E0,-1.079255676E-1,9.761201477E0
9.055830000E-1,-1.077010345E0,-2.442919922E-1,9.692644043E0
9.156330000E-1,-1.294358368E0,-4.062551880E-1,9.732910309E0
9.256830000E-1,-1.310075684E0,-2.233355713E-1,9.781559143E0
9.357320000E-1,-1.006057892E0,1.047821045E-3,9.702373810E0
9.457820000E-1,-4.189787292E-1,5.539979553E-1,9.804012451E0
9.558319999E-1,-5.520520020E-1,3.167413330E-1,9.808054047E0
9.658810000E-1,-2.365680542E0,-2.478845215E-1,9.742490387E0
9.759310000E-1,-1.776505737E0,2.862048340E-1,9.761201477E0
9.859809999E-1,-1.288819885E-1,5.974076843E-1,9.780810699E0
9.960310000E-1,-1.152603149E0,-3.652404785E-1,9.716444550E0
1.006080000E0,-1.877545624E0,-4.625381470E-1,9.751771088E0
1.016130000E0,-1.766626282E0,-3.948788452E-1,9.744586029E0
1.026180000E0,-2.085313568E0,-5.096900940E-1,9.743089142E0
1.036229000E0,-6.087840271E-1,-1.426533508E-1,9.770781555E0
1.046279000E0,-6.870712280E-2,-3.161425781E-1,9.758507080E0
1.056329000E0,-7.339237976E-1,-6.923103333E-1,9.760003967E0
1.066378000E0,-1.573527832E0,-8.665480042E-1,9.881551208E0
1.076428000E0,-3.236270142E-1,-2.642005920E-1,9.684710541E0
1.086478000E0,7.674540710E-1,-2.427951050E-1,9.786049805E0
1.096527000E0,1.658551025E-1,-3.888912964E-1,9.728719025E0
1.106577000E0,-8.976832581E-1,-4.067042542E-1,9.742490387E0
1.116627000E0,-1.363215179E0,-2.028282166E-1,9.762848053E0
1.126676000E0,-2.826123047E-1,1.893562317E-1,9.820478210E0
1.136726000E0,1.131646729E-1,5.748046875E-2,9.788744202E0
1.146776000E0,-7.921527100E-1,-4.444258118E-1,9.774972839E0
1.156826000E0,-1.295705566E0,-5.170248413E-1,9.735455017E0
1.166875000E0,-4.143383789E-1,1.341210938E-1,9.761051788E0
1.176925000E0,1.259331207E0,7.285350037E-1,9.824819183E0
1.186975000E0,-1.484912109E-1,1.519340515E-1,9.757010193E0
1.197024000E0,-1.360670471E-1,1.675016785E-1,9.810898132E0
1.207074000E0,1.298399963E0,6.616241455E-1,9.818681946E0
1.217124000E0,1.635349274E0,2.844085693E-1,9.767189026E0
