Force 1,Force 2
999.0234375,1453.41796875
999.0234375,1452.6123046875
1001.4404296875,1453.41796875
1001.4404296875,1452.6123046875
999.8291015625,1454.2236328125
999.8291015625,1454.2236328125
999.0234375,1454.2236328125
999.8291015625,1453.41796875
999.0234375,1454.2236328125
999.8291015625,1452.6123046875
999.8291015625,1453.41796875
1000.634765625,1452.6123046875
1001.4404296875,1452.6123046875
1003.0517578125,1454.2236328125
1000.634765625,1452.6123046875
999.8291015625,1454.2236328125
999.0234375,1453.41796875
1000.634765625,1454.2236328125
1001.4404296875,1454.2236328125
1001.4404296875,1452.6123046875
1001.4404296875,1454.2236328125
1002.24609375,1454.2236328125
1002.24609375,1455.029296875
1000.634765625,1454.2236328125
999.8291015625,1454.2236328125
998.2177734375,1454.2236328125
1001.4404296875,1456.640625
1001.4404296875,1453.41796875
1001.4404296875,1454.2236328125
1002.24609375,1452.6123046875
1003.0517578125,1453.41796875
1001.4404296875,1453.41796875
1001.4404296875,1455.029296875
999.8291015625,1455.8349609375
1000.634765625,1455.8349609375
999.8291015625,1453.41796875
1001.4404296875,1453.41796875
1000.634765625,1455.029296875
1000.634765625,1455.029296875
1001.4404296875,1455.8349609375
998.2177734375,1453.41796875
996.6064453125,1452.6123046875
993.3837890625,1451.806640625
988.5498046875,1447.7783203125
982.91015625,1441.3330078125
970.8251953125,1432.470703125
953.90625,1421.19140625
928.125,1401.85546875
903.1494140625,1388.96484375
880.5908203125,1370.4345703125
851.5869140625,1351.0986328125
813.720703125,1327.734375
770.21484375,1305.9814453125
723.486328125,1282.6171875
659.033203125,1264.0869140625
567.9931640625,1267.3095703125
493.06640625,1276.9775390625
418.1396484375,1282.6171875
380.2734375,1273.7548828125
339.1845703125,1242.333984375
315.8203125,1194.7998046875
368.1884765625,1204.4677734375
416.5283203125,1225.4150390625
443.115234375,1238.3056640625
473.73046875,1247.16796875
499.51171875,1258.447265625
526.0986328125,1267.3095703125
551.07421875,1278.5888671875
569.6044921875,1285.83984375
582.4951171875,1292.28515625
589.74609375,1291.4794921875
598.6083984375,1301.953125
611.4990234375,1310.8154296875
626.0009765625,1318.8720703125
634.0576171875,1327.734375
645.3369140625,1335.791015625
653.3935546875,1337.40234375
664.6728515625,1343.0419921875
676.7578125,1348.681640625
684.814453125,1351.904296875
692.87109375,1355.126953125
701.7333984375,1357.5439453125
704.9560546875,1366.40625
708.984375,1368.8232421875
717.8466796875,1372.0458984375
724.2919921875,1377.685546875
729.931640625,1378.4912109375
731.54296875,1381.7138671875
731.54296875,1383.3251953125
733.154296875,1386.5478515625
732.3486328125,1386.5478515625
734.765625,1389.7705078125
737.98828125,1391.3818359375
738.7939453125,1390.576171875
742.0166015625,1390.576171875
745.2392578125,1393.798828125
745.2392578125,1395.41015625
747.65625,1397.021484375
748.4619140625,1399.4384765625
750.0732421875,1398.6328125
753.2958984375,1397.8271484375
754.1015625,1398.6328125
754.1015625,1399.4384765625
756.5185546875,1399.4384765625
757.32421875,1402.6611328125
760.546875,1405.078125
762.9638671875,1405.8837890625
763.76953125,1405.8837890625
764.5751953125,1408.30078125
766.1865234375,1409.912109375
765.380859375,1408.30078125
765.380859375,1409.1064453125
766.9921875,1408.30078125
766.9921875,1410.7177734375
768.603515625,1412.3291015625
771.826171875,1413.9404296875
770.21484375,1414.74609375
771.826171875,1414.74609375
773.4375,1416.357421875
772.6318359375,1416.357421875
